top_k,coeff,n_neurons_clamped,n_positions,n_games,n_legal,n_illegal,illegal_rate,mean_ply,elapsed_sec,delta_vs_baseline,pct_change_vs_baseline
0,0.0,,2000,26,1986,14,0.007,44.3005,74.58596849441528,,
5,0.5,80,2000,29,1983,17,0.0085,44.3785,80.1643717288971,0.0015000000000000005,21.428571428571434
5,1.0,80,2000,32,1983,17,0.0085,43.906,82.8409652709961,0.0015000000000000005,21.428571428571434
5,2.0,80,2000,34,1974,26,0.013,35.477,71.41006231307983,0.005999999999999999,85.71428571428571
5,4.0,80,2000,302,1699,301,0.1505,4.3125,43.428552865982056,0.1435,2050.0
20,0.5,320,2000,27,1986,14,0.007,48.5985,78.46339917182922,0.0,0.0
20,1.0,320,2000,31,1973,27,0.0135,44.588,73.8673152923584,0.0065,92.85714285714286
20,2.0,320,2000,129,1872,128,0.064,11.292,43.99691557884216,0.057,814.2857142857143
20,4.0,320,2000,980,1021,979,0.4895,1.5065,36.98574376106262,0.4825,6892.857142857143
20,0.5,320,2000,31,1979,21,0.0105,40.2665,71.4852385520935,0.0035000000000000005,50.00000000000001
20,1.0,320,2000,27,1982,18,0.009,46.005,78.03213477134705,0.001999999999999999,28.571428571428562
20,2.0,320,2000,120,1881,119,0.0595,11.556,45.39916801452637,0.0525,750.0
20,4.0,320,2000,974,1026,974,0.487,1.5335,37.47014307975769,0.48,6857.142857142857
20,0.5,320,2000,27,1985,15,0.0075,47.1095,79.82024383544922,0.0004999999999999996,7.142857142857137
20,1.0,320,2000,32,1976,24,0.012,39.8245,70.28247356414795,0.005,71.42857142857143
20,2.0,320,2000,129,1872,128,0.064,10.599,60.742332458496094,0.057,814.2857142857143
20,4.0,320,2000,992,1008,992,0.496,1.4645,47.035499572753906,0.489,6985.714285714285
