layer,layer_idx,fold,train_acc,test_acc,test_auc,test_loss
embed,0,0,0.7310000061988831,0.734333336353302,0.544048950824008,0.4744233787059784
embed,0,1,0.7269166707992554,0.7195000052452087,0.5965682551737231,0.495060533285141
embed,0,2,0.7385416626930237,0.731333315372467,0.5632335105886743,0.4982545077800751
embed,0,3,0.734333336353302,0.7256666421890259,0.5387024687749999,0.48656460642814636
embed,0,4,0.7326666712760925,0.7310000061988831,0.5962164615731028,0.4885827302932739
blk0,1,0,0.7589583396911621,0.7583333253860474,0.55904585923064,0.46973082423210144
blk0,1,1,0.7504583597183228,0.7415000200271606,0.5989433482788333,0.4967134892940521
blk0,1,2,0.7508333325386047,0.7363333106040955,0.5775799981341543,0.48925748467445374
blk0,1,3,0.7588333487510681,0.749833345413208,0.5573740003719546,0.4798849821090698
blk0,1,4,0.7457083463668823,0.737333357334137,0.5848687055695144,0.4803462624549866
blk1,2,0,0.7681666612625122,0.7616666555404663,0.5432269086568189,0.47126317024230957
blk1,2,1,0.7754166722297668,0.7645000219345093,0.5955148895152692,0.48138925433158875
blk1,2,2,0.7668750286102295,0.7638333439826965,0.6008060453400503,0.4808003306388855
blk1,2,3,0.7669583559036255,0.7576666474342346,0.5653916888806232,0.4848308861255646
blk1,2,4,0.7599583268165588,0.7565000057220459,0.6156917127427258,0.4806700050830841
blk2,3,0,0.7759583592414856,0.7680000066757202,0.5531914893617021,0.4681677222251892
blk2,3,1,0.7740416526794434,0.7601666450500488,0.5817426355683428,0.47492995858192444
blk2,3,2,0.7690833210945129,0.765500009059906,0.6120794850265883,0.48196396231651306
blk2,3,3,0.7785833477973938,0.7628333568572998,0.5806713485716647,0.4723660349845886
blk2,3,4,0.7682499885559082,0.76583331823349,0.5920383429059548,0.4725424349308014
blk3,4,0,0.7741666436195374,0.7748333215713501,0.5532272303254929,0.4627085328102112
blk3,4,1,0.7637500166893005,0.7574999928474426,0.6296242204729009,0.47830894589424133
blk3,4,2,0.7664166688919067,0.7543333172798157,0.6398731224927698,0.48856568336486816
blk3,4,3,0.780875027179718,0.7733333110809326,0.6073841848437348,0.47014155983924866
blk3,4,4,0.765791654586792,0.7549999952316284,0.5876493525524409,0.4814029037952423
blk4,5,0,0.7819583415985107,0.7714999914169312,0.5629845134403895,0.47178104519844055
blk4,5,1,0.7849583625793457,0.7728333473205566,0.6037556045625155,0.4700968861579895
blk4,5,2,0.7877083420753479,0.7766666412353516,0.6004739248064185,0.4628410339355469
blk4,5,3,0.7835416793823242,0.7684999704360962,0.6078948844431455,0.4800509512424469
blk4,5,4,0.7849166393280029,0.7730000019073486,0.589979663391603,0.46848180890083313
blk5,6,0,0.7873333096504211,0.7738333344459534,0.54267649781444,0.46937862038612366
blk5,6,1,0.7848333120346069,0.7738333344459534,0.5798294168334039,0.48602914810180664
blk5,6,2,0.784458339214325,0.7823333144187927,0.5931150293870697,0.4704340696334839
blk5,6,3,0.784208357334137,0.7634999752044678,0.5454006039834569,0.48370814323425293
blk5,6,4,0.7832499742507935,0.7754999995231628,0.6131755488918514,0.48269855976104736
blk6,7,0,0.7849166393280029,0.7766666412353516,0.5318076707256488,0.4609593451023102
blk6,7,1,0.7785833477973938,0.765999972820282,0.6076952286369411,0.4911649227142334
blk6,7,2,0.784375011920929,0.7774999737739563,0.613139285381099,0.4794031083583832
blk6,7,3,0.7918333411216736,0.7764999866485596,0.5587998264211766,0.47067081928253174
blk6,7,4,0.7778333425521851,0.7634999752044678,0.6216139904428662,0.49109897017478943
blk7,8,0,0.7898749709129333,0.7766666412353516,0.5470404694933003,0.4692445993423462
blk7,8,1,0.784208357334137,0.7714999914169312,0.5770180076236655,0.4844302535057068
blk7,8,2,0.7867500185966492,0.7730000019073486,0.6185838231178281,0.4795321524143219
blk7,8,3,0.7890833616256714,0.7726666927337646,0.6198771368940609,0.48435306549072266
blk7,8,4,0.7860416769981384,0.778166651725769,0.6506499494265362,0.47406938672065735
blk8,9,0,0.7925416827201843,0.7816666960716248,0.5758333899231927,0.4683803617954254
blk8,9,1,0.7863333225250244,0.7801666855812073,0.6183676300915716,0.47228121757507324
blk8,9,2,0.7932500243186951,0.7735000252723694,0.6144491090586809,0.47112539410591125
blk8,9,3,0.7907500267028809,0.7730000019073486,0.6062830810831554,0.48874813318252563
blk8,9,4,0.7889999747276306,0.784166693687439,0.639352230772255,0.46512940526008606
blk9,10,0,0.796583354473114,0.7886666655540466,0.570200614029758,0.4611954689025879
blk9,10,1,0.7933750152587891,0.7760000228881836,0.6013239181551314,0.477946400642395
blk9,10,2,0.7952916622161865,0.7886666655540466,0.5984252262337905,0.4715222716331482
blk9,10,3,0.7929583191871643,0.768833339214325,0.6213856195258464,0.48310303688049316
blk9,10,4,0.7900000214576721,0.7853333353996277,0.6315428301839587,0.45678719878196716
blk10,11,0,0.7941666841506958,0.7901666760444641,0.5449782158825695,0.46563249826431274
blk10,11,1,0.7920416593551636,0.7799999713897705,0.6076477632866469,0.48377376794815063
blk10,11,2,0.7945833206176758,0.784166693687439,0.5839350685698292,0.47386685013771057
blk10,11,3,0.793916642665863,0.7714999914169312,0.589332577616007,0.48100546002388
blk10,11,4,0.7859583497047424,0.7795000076293945,0.6703539427644206,0.47016796469688416
blk11,12,0,0.8056250214576721,0.7935000061988831,0.5278797388050366,0.44880273938179016
blk11,12,1,0.7972916960716248,0.7774999737739563,0.6159067342378525,0.47645971179008484
blk11,12,2,0.8054999709129333,0.7983333468437195,0.5937382218490531,0.4502042233943939
blk11,12,3,0.8004166483879089,0.7825000286102295,0.621131745736544,0.4697328209877014
blk11,12,4,0.7943333387374878,0.7791666388511658,0.6696498457777412,0.4716137647628784
blk12,13,0,0.799833357334137,0.7896666526794434,0.577137935101558,0.45094719529151917
blk12,13,1,0.8004166483879089,0.7776666879653931,0.6232638635334667,0.4777234196662903
blk12,13,2,0.8009999990463257,0.8038333058357239,0.5671163354790559,0.4421532452106476
blk12,13,3,0.8008750081062317,0.7795000076293945,0.6270092191609766,0.46882230043411255
blk12,13,4,0.7922083139419556,0.7803333401679993,0.6403279590837446,0.4720364212989807
blk13,14,0,0.7985000014305115,0.7826666831970215,0.5402854273368336,0.4481780529022217
